timestamp_hour;user_language;device;Out;In
13;en;iphone;eric;cmreynoso34
13;en;iphone;cmreynoso34;stevenmatteo
13;en;iphone;stevenmatteo;cmreynoso34
13;en;iphone;eric;stevenmatteo
13;en;iphone;stevenmatteo;eric
13;en;web;davegershgorn;omg
13;en;web;omg;davegershgorn
13;en;iphone;shippey0721;mikeshippey
13;en;iphone;mikeshippey;shippey0721
13;en;instagram;italia;acquadibergamotto
13;en;instagram;acquadibergamotto;italia
13;en;instagram;italia;https://t.co/xfmaypk5ir
13;en;instagram;https://t.co/xfmaypk5ir;italia
13;en;instagram;acquadibergamotto;https://t.co/xfmaypk5ir
13;en;instagram;https://t.co/xfmaypk5ir;acquadibergamotto
13;en;web;ericgeller;anchorlines
13;en;web;anchorlines;ericgeller
13;en;web;kentgerman;emilydreyfuss
13;en;web;emilydreyfuss;kentgerman
13;en;web;kentgerman;emilydreyfuss
13;en;web;emilydreyfuss;kentgerman
13;en;iphone;bpericadams;billdeblasio
13;en;iphone;billdeblasio;bpericadams
13;en;iphone;tastemakers;marksimoneny
13;en;iphone;marksimoneny;tastemakers
13;en;web;leschnosebest;eeslacker
13;en;web;eeslacker;leschnosebest
13;en;web;leschnosebest;mjizzle03
13;en;web;mjizzle03;leschnosebest
13;en;web;eeslacker;mjizzle03
13;en;web;mjizzle03;eeslacker
13;pt;iphone;foto;micheltemer
13;pt;iphone;micheltemer;foto
13;en;iphone;jumpingtheshark;ascii
13;en;iphone;ascii;jumpingtheshark
13;en;iphone;jumpingtheshark;https://t.co/hslsaonjnc
13;en;iphone;https://t.co/hslsaonjnc;jumpingtheshark
13;en;iphone;ascii;https://t.co/hslsaonjnc
13;en;iphone;https://t.co/hslsaonjnc;ascii
13;pt;iphone;foto;micheltemer
13;pt;iphone;micheltemer;foto
13;pt;iphone;foto;micheltemer
13;pt;iphone;micheltemer;foto
13;en;iphone;com;https://t.co/t9ctsr0hrq
13;en;iphone;https://t.co/t9ctsr0hrq;com
13;en;web;jbad506;lhaman353
13;en;web;lhaman353;jbad506
13;en;iphone;scottmstringer;uber
13;en;iphone;uber;scottmstringer
13;en;web;inagarten;rgay
13;en;web;rgay;inagarten
13;en;web;inagarten;thetoast
13;en;web;thetoast;inagarten
13;en;web;inagarten;jeffreyandina4ever
13;en;web;jeffreyandina4ever;inagarten
13;en;web;rgay;thetoast
13;en;web;thetoast;rgay
13;en;web;rgay;jeffreyandina4ever
13;en;web;jeffreyandina4ever;rgay
13;en;web;thetoast;jeffreyandina4ever
13;en;web;jeffreyandina4ever;thetoast
13;en;iphone;mtv;vma
13;en;iphone;vma;mtv
13;en;iphone;mtv;nickjonas
13;en;iphone;nickjonas;mtv
13;en;iphone;mtv;falloutboy
13;en;iphone;falloutboy;mtv
13;en;iphone;vma;nickjonas
13;en;iphone;nickjonas;vma
13;en;iphone;vma;falloutboy
13;en;iphone;falloutboy;vma
13;en;iphone;nickjonas;falloutboy
13;en;iphone;falloutboy;nickjonas
13;en;iphone;uber;scottmstringer
13;en;iphone;scottmstringer;uber
13;en;iphone;uber;scottmstringer
13;en;iphone;scottmstringer;uber
