"7007",NULL,"Farge / Ayasse","117 bd Yves farge","2007-09-22 00:00:00",NULL,NULL,"45.7357","4.82769"
"7008","134290272","Jean Jaurès / Guillotière","Avenue Jean Jaurès - Angle rue de la Guillotière","2005-08-04 00:00:00","2086710","795253","45.7526","4.84634"
"7009","134290273","Jean Jaurès","Avenue Jean Jaurès - Proche métro Jean Jaurès","2005-08-01 00:00:00","2084970","794604","45.7378","4.83758"
"7010","134290274","Centre Berthelot","Rue Pasteur - Angle avenue Berthelot","2005-07-12 00:00:00","2086090","794464","45.7474","4.83605"
"7011","134290275","Berthelot / Garibaldi","Rue Garibaldi - Angle avenue Berthelot","2005-05-25 00:00:00","2085720","795355","45.7437","4.84727"
"7012","134290276","Place des Pavillons","Place des Pavillons - Devant la bibliothèque","2005-07-24 00:00:00","2084130","794018","45.7295","4.82969"
"7013","134290277","Halle Tony Garnier","Avenue Tony Garnier angle voie nouvelle (100 m après angle avenue Debourg)","2006-06-02 00:00:00","2084300","793575","45.7313","4.82393"
"7014","134290278","Marseille / Félissent","Rue Felisse","2005-07-29 00:00:00","2086690","794872","45.753","4.84137"
"7016","134290280","Place Saint Louis","Rue de la Madeleine - Angle rue St Lazarre","2005-09-15 00:00:00","2086300","795391","45.7488","4.84757"
"7018","134290282","Lycée Louise Labbe",,"0000-00-00 00:00:00","2085310","794176","45.7403","4.83211"
"7020","134290284","Parc de Gerland","Allée Pierre de Coubertin","2005-09-19 00:00:00","2083400","793977","45.7241","4.82713"
"7021","134290285","Challemel Lacour / Gerlan","Rue de Gerland - Angle rue Challemel Lacour","2005-09-21 00:00:00","2084140","794688","45.7298","4.83813"
"7022","134290286","Jaurès / Lagrange",,"2007-04-25 00:00:00","2085740","794891","45.744","4.84127"
"7023","134290287","Berthelot / Route de Vien","Route de Vienne - Angle avenue Berthelot","2005-09-16 00:00:00","2085590","795628","45.7426","4.85051"
"7024","134290288","Bancel / Chevreul",,"2007-06-24 00:00:00","2086230","794815","45.7485","4.84056"
"7030","134290294","Quartier Général Frère",,"0000-00-00 00:00:00","2085630","794348","45.7432","4.83425"
"7031","134290295","Jaurès / Gerland","Place Jean JaurÃ","2007-05-30 00:00:00","2085260","794820","45.7399","4.84037"
"7033","134290297","St Luc / St Joseph","Sur le quai haut","2005-09-22 00:00:00","2086280","794324","45.7498","4.83512"
"7034","134290298","Piscine du Rhône","Sur le quai devant l entrée de la piscine","2005-09-22 00:00:00","2086840","794629","45.7537","4.83832"
"7035","134290299","Marseille / Université","Angle rue de Marseille","2005-05-27 00:00:00","2086480","794724","45.7509","4.83936"
"7038","134290302","Place Stalingrad","Angle Rue de la Guillotiere","2005-09-15 00:00:00","2086380","795767","45.7496","4.85299"
"7039","134290303","Guillotière / Madeleine","Angle rue de la Madeleine","2005-07-24 00:00:00","2086530","795389","45.751","4.84804"
"7041","134290305","Domer / Chevreul","Rue Domer/angle rue Chevreul","2005-08-30 00:00:00","2086040","795133","45.7467","4.84448"
